"Rank","Root Domain","Linking Root Domains","Domain Authority"
"178","espn.com","358,153","93"
"179","bloglovin.com","501,431","93"
"180","my.yahoo.com","1,162,210","93"
"181","nationalgeographic.com","603,695","93"
"182","lemonde.fr","252,632","93"
"183","metro.co.uk","217,294","93"
"184","detik.com","380,050","93"
"185","akamaihd.net","486,998","93"
"186","home.neustar","467,962","93"
"187","cbc.ca","426,048","93"
"188","liberation.fr","120,313","93"
"189","sfgate.com","361,208","93"
"190","umich.edu","321,629","93"
"191","imageshack.us","807,811","93"
"192","chicagotribune.com","344,513","93"
"193","google.nl","244,480","93"
"194","outlook.com","280,380","93"
"195","twitch.tv","389,322","93"
"196","doubleclick.net","623,971","93"
"197","20minutos.es","151,123","93"
"198","webmd.com","636,009","93"
"199","spiegel.de","317,257","93"
"200","cornell.edu","419,062","93"
"201","rambler.ru","223,258","93"
"202","kickstarter.com","450,187","93"
"203","stanford.edu","586,328","93"
"204","gofundme.com","325,630","93"
"205","wikihow.com","460,313","93"
"206","npr.org","751,577","93"
"207","mozilla.com","200,291","93"
"208","eventbrite.com","599,485","93"
"209","theatlantic.com","523,197","93"
"210","disney.com","233,636","93"
"211","lavanguardia.com","129,822","93"
"212","bitly.com","390,220","93"
"213","discord.gg","243,809","93"
"214","pbs.org","499,257","93"
"215","sciencemag.org","313,705","93"
"216","search.yahoo.com","446,518","93"
"217","amazon.fr","244,780","93"
"218","yelp.com","886,403","93"
"219","bp2.blogger.com","542,750","93"
"220","google.co.in","263,594","93"
"221","apache.org","935,775","93"
"222","icann.org","593,095","93"
"223","naver.com","475,637","93"
"224","surveymonkey.com","428,383","93"
"225","netlify.app","320,672","93"
"226","welt.de","208,579","93"
"227","yahoo.co.jp","628,296","93"
"228","cbsnews.com","499,687","93"
"229","www.wix.com","714,548","93"
"230","ft.com","424,321","93"
"231","gnu.org","572,196","93"
"232","britannica.com","390,242","93"
"233","alexa.com","310,118","93"
"234","francetvinfo.fr","139,560","93"
